id,name,latitude,longitude,website
52,Peregrine Espresso,38.8852165,-76.9964033,https://peregrineespresso.com/
53,Wine and Butter,38.8895263,-76.9917104,http://www.wineandbutterdc.com/
54,As You Are,38.8825825,-76.9947786,https://asyouaredc.com/
55,7st Hill Cafe,38.887199,-76.9959943,https://www.portcityjava.com/
56,Call Your Mother,38.8811057,-76.9951644,https://www.callyourmotherdeli.com/
57,District Doughnut,38.8796366,-76.9951837,https://www.districtdoughnut.com/
58,Joe & The Juice,38.9038575,-77.0388199,https://www.joejuice.com/
59,City Place Cafe,38.9042416,-77.0382256,https://cityplacecafedc.com/
60,Capitol Grounds Cafe,38.9030084,-77.0387446,https://capitolgroundscafedc.com/
61,Sunrise Cafe,38.9040969,-77.0387219,https://www.yelp.com/biz/sunrise-cafe-washington
62,Galley Cafe,38.9081031,-77.0380503,https://www.gallerycafedc.com/
63,Oxford Cafe,38.9054811,-77.0396413,https://www.yelp.com/biz/oxford-cafe-washington
64,West Wing Cafe,38.9046486,-77.0450897,https://www.westwingcafeone.com/
65,Roasting Plant Coffee,38.904018,-77.0436981,https://roastingplant.com/pages/locations
66,Teaism,38.900385,-77.0386085,https://www.teaism.com/
67,La Colombe Coffee Roasters,38.901185,-77.0400843,https://www.lacolombe.com/
68,Qargo Coffee,38.9022816,-77.03695,https://www.qargocoffee.com/
69,Tatte,38.9011648,-77.0388403,https://tattebakery.com/
70,Greenberry's,38.8961663,-77.0423402,https://greenberrys.com/
71,Starbucks,38.8848009,-77.0154975,https://www.starbucks.com/store-locator/store/7119/3rd-d-409-3rd-street-sw-suite-105-washington-dc-20024321
72,Timgad,38.8936746,-77.0292571,https://www.timgadcafe.com/
73,Bluestone Lane,38.9038984,-77.0503791,https://bluestonelane.com/cafes/west-end-library-1100-23rd-st-nw-washington-dc/
74,SecreTea,38.8961397,-77.044562,https://secreteadc.com/
75,Casey's Coffee,38.8964756,-77.0508285,https://caseyscoffee23.com/
76,The Bistro,38.9000461,-77.0503862,https://dining.gwu.edu/bistro
77,Devon & Blakely,38.9015851,-77.0499304,https://www.devonandblakely.com/
78,GW Delicatessen,38.8985601,-77.0483091,https://www.yelp.com/biz/gw-delicatessen-washington
79,Garden Cafe,38.8971986,-77.0475703,https://www.stateplaza.com/dine
80,Tazza Cafe,38.8975533,-77.0551378,https://www.tazzadc.com/
81,Crabapples Delicatessen,39.4143538,-77.4123393,https://www.crabapplesdeli.com/
82,Frederick Coffee Company & Cafe,39.4153563,-77.4049218,https://fredcoffeeco.com/
83,The Perfect Blend,39.4143442,-77.4121059,https://theperfectblendfrederick.com/
84,Cafe Nola,39.4139566,-77.410591,http://www.cafe-nola.com/
85,Curitiba Art Cafe,38.303433,-77.4590779,https://www.curitibaartcafe.com/
86,Agora Downtown Cafe,38.2993614,-77.4570925,https://www.agoradowntown.com/
87,Hyperion Espresso,38.3033736,-77.460914,https://hyperionespresso.com/
88,2530 Espresso,38.2974892,-77.4571789,https://www.2530espresso.com/
89,Bubblebee,38.3035874,-77.4606063,https://www.bubblebeeva.com/
90,Peet's Coffee,38.960937,-77.0862291,https://www.peets.com/pages/coffeepeople?utm_medium=Search&utm_source=Google&utm_campaign=2024-cfcp&utm_content=LPcoffeepeople&utm_term=CFCP&utm_campaign=21328118134&utm_device=c&utm_content=700554475333&utm_term=peet%27s%20coffee&utm_keymatch=b&utm_adposition=&gad_source=1&gclid=CjwKCAjwx4O4BhAnEiwA42SbVDGh0nl1us82ql9jHGJUjmTywrmy5iaiHYgGzbISwC6-h6PbTBL8KxoC3hkQAvD_BwE
91,Booeymonger,38.9588557,-77.0850407,http://www.booeymonger.com/
92,Hallowed Grounds Coffee Co.,39.140488,-77.1960751,hallowedgroundscc.com
93,Courtyard Cafe,38.8980715,-77.0226469,https://npg.si.edu/visit/courtyard-cafe
94,Café Riggs,38.8987422,-77.0242964,https://www.riggsdc.com/cafe-riggs/
95,Doubles,38.9295748,-77.0236346,https://www.doublesdc.com/
96,Lulabelles Market,38.9420625,-77.024755,https://lulabellesmarket.com/
97,Heat da Spot,38.9304807,-77.0232818,https://heatdaspotdc.com/
98,Boulevard Cafe,38.923499,-77.2277566,https://www.blvdcafecatering.com/
99,Bluestone Lane Tysons Boro CafÃ©,38.9237517,-77.233007,https://bluestonelane.com/
100,Battle Grounds Bakery & Cafe,39.3238721,-77.731538,https://battlegroundsbakery.com/
101,The Coffee Mill,39.3235438,-77.7306178,https://www.facebook.com/hfcoffeemill/
102,Blue Nile Café,38.9571063,-77.4175632,https://bluenilegourmet.com/
103,Donut King Cafe & Deli,39.033303,-77.07372,https://donutkingcafeanddeli.weebly.com/
104,Karlee's Deli and market,39.0273446,-77.073616,https://karleesdeliandmarket.com/
105,Java Nation,39.0284492,-77.0773288,https://java-nation.com
106,La Gelatteria,39.0278916,-77.0785747,https://lagelatteria.com/
107,District Cafe Mizell Station,39.0275959,-77.0723962,https://www.districtcafemodena.com/
108,Uptowner Cafe,38.8065248,-77.0570975,https://www.uptownercafe.com/
109,For Five Coffee Alexandria,38.8056851,-77.06044,https://www.forfivecoffee.com/
110,Ragamuffins Coffee House,39.1059295,-76.8474481,https://www.ragamuffinslaurel.com
111,Cosmo,38.8860812,-77.0211574,https://www.cosmocafedc.com/
112,Great Harvest Bread Company,38.713336,-77.2136385,http://www.greatharvestburke.com/
113,Grounds Central Station,38.7515182,-77.4717678,groundscentralstation.com
114,Jirani Coffeehouse,38.7503952,-77.4728433,https://www.jiranicoffeehouse.com/
115,Good Natured Collective Cafe,39.4567591,-77.9691934,https://www.goodnaturedllc.com/
116,Compass Coffee,38.9015024,-77.0322651,https://www.compasscoffee.com/
117,Soho Cafe & Market,38.9027795,-77.0299687,https://www.yelp.com/biz/soho-cafe-and-market-washington-3
118,Cafe Phillips,38.90058,-77.032212,https://cafephillips.com/
119,Gong Cha,38.8998832,-77.0317456,https://gongchausa.com
120,Starbucks Reserve,38.8996151,-77.0267396,https://www.starbucks.com/store-locator/store/1008913/grand-hyatt-11-th-and-h-nw-1000-h-street-nw-washington-dc-200014520-us
