station_id,station_name,station_line,station_lat,station_lon
101,MANASSAS PARK VRE,VRE,38.765545,-77.440728
100,MANASSAS VRE,VRE,38.750134,-77.472794
141,MARTIN AIRPORT MARC,MARC,39.33803,-76.41999
142,MARTINSBURG W. VA MARC,MARC,39.45839,-77.96087
97,MCLEAN METRO STATION,Silver,38.92433,-77.21053
15,MCPHERSON SQ METRO STATION,"Blue, Orange, Silver",38.901335,-77.031958
56,MEDICAL CENTER METRO STATION,Red,39.000062,-77.096948
3,METRO CENTER METRO STATION,"Red, Blue, Orange, Silver",38.898327,-77.027777
143,METROPOLITAN GROVE MARC,MARC,39.149791,-77.22711
30,MINNESOTA AVE METRO STATION,Orange,38.898313,-76.947716
144,MONOCACY MARC,MARC,39.38221,-77.39456
51,MORGAN BOULEVARD METRO STATION,"Blue, Silver",38.893586,-76.868498
1,MT VERNON SQ/7TH ST-CONVENTION CENTER METRO STATION,"Green,  Yellow",38.901056,-77.022025
145,MUIRKIRK MARC,MARC,39.06291,-76.88412
75,REAGAN NATIONAL AIRPORT METRO STATION,"Blue, Yellow",38.853003,-77.043475
9,NAVY YARD METRO STATION,Green,38.876517,-77.004749
45,NAYLOR ROAD METRO STATION,Green,38.851164,-76.956314
146,NEW CARROLLTON MARC,MARC,38.94807,-76.87229
54,NEW CARROLLTON METRO STATION,Orange,38.946912,-76.870445
6,NOMA-GALLAUDET U METRO STATION,Red,38.907413,-77.002981
61,NORTH BETHESDA METRO STATION,Red,39.047162,-77.112782
147,ODENTON MARC,MARC,39.08776,-76.70591
148,PENN STATION MARC,MARC,39.307096,-76.615881
76,PENTAGON CITY METRO STATION,"Blue, Yellow",38.862961,-77.059142
73,PENTAGON METRO STATION,"Blue, Yellow",38.869474,-77.053777
149,PERRYVILLE MARC,MARC,39.558089,-76.07318
150,POINT OF ROCKS MARC,MARC,39.273403,-77.533416
11,POTOMAC AVE METRO STATION,"Blue, Orange, Silver",38.880874,-76.985397
106,QUANTICO VRE,VRE,38.522032,-77.293067
92,RESTON TOWN CENTER METRO STATION,Silver,38.952768,-77.360188
27,RHODE ISLAND AVE METRO STATION,Red,38.920778,-76.995682
109,RIPPON VRE,VRE,38.612436,-77.253574
151,RIVERDALE MARC,MARC,38.962925,-76.934956
152,ROCKVILLE MARC,MARC,39.08425,-77.14593
58,ROCKVILLE METRO STATION,Red,39.085452,-77.146689
104,ROLLING ROAD VRE,VRE,38.794575,-77.258627
80,ROSSLYN METRO STATION,"Blue, Orange, Silver",38.895493,-77.071954
153,SAVAGE MARC,MARC,39.122927,-76.796374
154,SEABROOK MARC,MARC,38.973444,-76.842772
62,SHADY GROVE METRO STATION,Red,39.11999,-77.164761
2,SHAW METRO STATION,Green ,38.914546,-77.021927
155,SILVER SPRING MARC,MARC,38.9923,-77.0301
66,SILVER SPRING METRO STATION,Red,38.993658,-77.032307
35,SMITHSONIAN METRO STATION,"Blue, Orange, Silver",38.887587,-77.028174
46,SOUTHERN AVE METRO STATION,Green,38.841047,-76.975003
117,SPOTSYLVANIA  VRE,VRE,38.22017,-77.440641
94,SPRING HILL METRO STATION,Silver,38.929206,-77.241887
156,ST DENIS MARC,MARC,39.22429,-76.70388
12,STADIUM ARMORY METRO STATION,"Blue, Orange, Silver",38.885982,-76.977168
44,SUITLAND METRO STATION,Green,38.843839,-76.93161
24,TAKOMA METRO STATION,Red,38.975432,-77.017421
25,TENLEYTOWN METRO STATION,Red,38.947849,-77.079299
60,TWINBROOK METRO STATION,Red,39.062389,-77.120792
96,TYSONS METRO STATION,Silver,38.920677,-77.221586
20,U STREET METRO STATION,Green,38.917015,-77.029169
157,UNION STATION MARC,MARC,38.899036,-77.006795
7,UNION STATION METRO STATION,Red,38.89777,-77.006402
98,UNION STATION VRE,VRE,38.897746,-77.006221
83,VAN DORN METRO STATION,Blue,38.799263,-77.129111
18,VAN NESS-UDC METRO STATION,Red,38.944519,-77.063716
68,VIENNA METRO STATION,Orange,38.877881,-77.271363
78,VIRGINIA SQUARE METRO STATION,"Orange, Silver",38.883074,-77.103809
89,WASHINGTON DULLES INTERNATIONAL AIRPORT METRO STATION,Silver,38.955782,-77.44815
158,WASHINGTON GROVE MARC,MARC,39.13641,-77.17778
33,WATERFRONT METRO STATION,Green,38.876478,-77.017189
159,WEST BALTIMORE MARC,MARC,39.293344,-76.653102
69,WEST FALLS CHURCH METRO STATION,Orange,38.900738,-77.188871
49,WEST HYATTSVILLE METRO STATION,Green,38.955028,-76.969522
63,WHEATON METRO STATION,Red,39.038565,-77.050776
93,WIEHLE-RESTON EAST METRO STATION,Silver,38.947825,-77.340313
110,WOODBRIDGE VRE,VRE,38.659024,-77.248092
19,WOODLEY PARK-ZOO METRO STATION,Red,38.925,-77.05235
