id,name,latitude,longitude
124,CAMDEN STATION MARC,39.283700,-76.619700
125,COLLEGE PARK MARC,38.977880,-76.928760
126,DICKERSON MARC,39.219970,-77.421190
127,DORSEY MARC,39.181268,-76.745121
128,DUFFIELFS W VA MARC,39.362352,-77.826660
129,EDGEWOOD MARC,39.415967,-76.292139
130,FREDERICK MARC,39.411860,-77.405440
131,GAITHERSBURG MARC,39.141424,-77.193339
132,GARRETT PARK MARC,39.038859,-77.093281
133,GERMANTOWN MARC,39.173140,-77.270620
134,GREENBELT MARC,39.010228,-76.912197
135,HALETHORPE MARC,39.237010,-76.691320
136,HARPERS FERRY W VA MARC,39.324496,-77.730570
137,JESSUP MARC,39.151525,-76.776332
138,KENSINGTON MARC,39.026760,-77.071810
139,LAUREL RACETRACK MARC,39.105464,-76.834411
140,LAUREL MARC,39.102420,-76.841610
141,MARTIN AIRPORT MARC,39.338030,-76.419990
142,MARTINSBURG W VA MARC,39.458390,-77.960870
143,METROPOLITAN GROVE MARC,39.149791,-77.227110
144,MONOCACY MARC,39.382210,-77.394560
145,MUIRKIRK MARC,39.062910,-76.884120
146,NEW CARROLLTON MARC,38.948070,-76.872290
147,ODENTON MARC,39.087760,-76.705910
148,PENN STATION MARC,39.307096,-76.615881
149,PERRYVILLE MARC,39.558089,-76.073180
150,POINT OF ROCKS MARC,39.273403,-77.533416
151,RIVERDALE MARC,38.962925,-76.934956
152,ROCKVILLE MARC,39.084250,-77.145930
153,SAVAGE MARC,39.122927,-76.796374
154,SEABROOK MARC,38.973444,-76.842772
155,SILVER SPRING MARC,38.992300,-77.030100
156,ST DENIS MARC,39.224290,-76.703880
157,UNION STATION MARC,38.899036,-77.006795
158,WASHINGTON GROVE MARC,39.136410,-77.177780
159,WEST BALTIMORE MARC,39.293344,-76.653102
